,book_name,book_authors
0,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves"
1,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland"
2,L'élégance du hérisson,"Muriel Barbery, Alison Anderson"
3,Three Junes,Julia Glass
4,Unaccustomed Earth,Jhumpa Lahiri
5,The Other Hand,Chris Cleave
6,Balzac et la Petite Tailleuse chinoise,"Dai Sijie, Ina Rilke"
7,The Book Thief,Markus Zusak
8,The History of Love,Nicole Krauss
9,Gilead,Marilynne Robinson
10,Housekeeping,Marilynne Robinson
11,The Sea,John Banville
12,Never Let Me Go,Kazuo Ishiguro
13,The Hitchhiker's Guide to the Galaxy,Douglas Adams
14,The Giving Tree,Shel Silverstein
15,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes"
16,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff"
17,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee"
18,The Grapes of Wrath,John Steinbeck
19,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides"
20,East of Eden  ,John Steinbeck
21,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster"
22,The Poisonwood Bible,Barbara Kingsolver
23,Emma,"Jane Austen, Fiona Stafford"
24,Angela's Ashes: A Memoir,Frank McCourt
25,Atlas Shrugged,"Ayn Rand, Leonard Peikoff"
26,Mystic River,Dennis Lehane
27,The Art of Racing in the Rain,Garth Stein
28,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland"
29,The Last Lecture,"Randy Pausch, Jeffrey Zaslow"
30,,Michael Ondaatje
31,,Anthony Doerr
32,The Paris Wife,Paula McLain
33,The Invention of Wings,Sue Monk Kidd
34,Big Little Lies,Liane Moriarty
35,People of the Book,Geraldine Brooks
36,Caleb's Crossing,Geraldine Brooks
37,Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet
38,The Forty Rules of Love,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش"
39,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,Ross King
40,Storia di chi fugge e di chi resta,"Elena Ferrante, Ann Goldstein"
41,Storia del nuovo cognome,"Elena Ferrante, Ann Goldstein"
42,Братья Карамазовы,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky"
43,L'amica geniale,"Elena Ferrante, Ann Goldstein"
44,A Thousand Splendid Suns,Khaled Hosseini
45,Water for Elephants,Sara Gruen
46,The Lovely Bones,Alice Sebold
47,Middlesex,Jeffrey Eugenides
48,The Help,Kathryn Stockett
49,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland"
50,The Five People You Meet in Heaven,Mitch Albom
51,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert
52,Bel Canto,Ann Patchett
53,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin"
54,Snow Flower and the Secret Fan,Lisa See
55,The Namesake,Jhumpa Lahiri
56,The Time Traveler's Wife,Audrey Niffenegger
57,The Pillars of the Earth,Ken Follett
58,Where the Wild Things Are,Maurice Sendak
59,Year of Wonders: A Novel of the Plague,Geraldine Brooks
60,The Giver,Lois Lowry
61,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss"
62,Little Women,Louisa May Alcott
63,Ender's Game,Orson Scott Card
64,Ἀντιγόνη,"Sophocles, J.E. Thomas"
65,The Secret Life of Bees,Sue Monk Kidd
66,Speaker for the Dead,Orson Scott Card
67,World Without End,Ken Follett
68,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa"
69,Pride and Prejudice,Jane Austen
70,Girl with a Pearl Earring,Tracy Chevalier
71,The Curious Incident of the Dog in the Night-Time,Mark Haddon
72,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
73,Memoirs of a Geisha,Arthur Golden
74,The Red Tent,Anita Diamant
75,Cry to Heaven,Anne Rice
76,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
77,The Stone Diaries,Carol Shields
78,Peace Like a River,Leif Enger
79,The Kite Runner ,Khaled Hosseini
80,The Memory Keeper's Daughter,Kim Edwards
81,The Emperor's Children,Claire Messud
82,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi
83,A Year in Provence,Peter Mayle
84,Running with Scissors,Augusten Burroughs
85,West with the Night,Beryl Markham
86,O Alquimista,"Paulo Coelho, Alan R. Clarke"
87,The Handmaid's Tale,Margaret Atwood
88,To Kill a Mockingbird,Harper Lee
89,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster"
90,Atonement,Ian McEwan
91,Elle s'appelait Sarah,Tatiana de Rosnay
92,A Prayer for Owen Meany,John Irving
93,Of Mice and Men ,John Steinbeck
94,Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim"
95,L’Étranger,"Albert Camus, Matthew    Ward"
96,The Glass Castle,Jeannette Walls
97,Steve Jobs,Walter Isaacson
98,,Rob Lowe
99,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer
100,The Color Purple,Alice Walker
101,A Man Without a Country,Kurt Vonnegut Jr.
102,Midnight's Children,Salman Rushdie
103,Война и миръ,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude"
104,The Shining,Stephen King
105,The Art of Fielding,Chad Harbach
106,Gone with the Wind,Margaret Mitchell
107,The Dante Club,Matthew Pearl
108,Jane Eyre,"Charlotte Brontë, Michael Mason"
109,The Fountainhead,"Ayn Rand, Leonard Peikoff"
110,Идиот,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky"
